"group","year","size","mean_grade","date","map","action"
"Bellatrix",1617,5,9.72,"10/11/2016 19:11:43",9,2
"Bellatrix",1617,5,9.72,"10/11/2016 19:12:00",9,3
"Bellatrix",1617,5,9.72,"10/11/2016 19:12:44",9,1
"Bellatrix",1617,5,9.72,"10/11/2016 19:12:48",9,2
"Bellatrix",1617,5,9.72,"10/11/2016 19:13:05",9,3
"Bellatrix",1617,5,9.72,"10/11/2016 19:15:47",9,1
"Bellatrix",1617,5,9.72,"10/11/2016 19:15:52",9,2
"Bellatrix",1617,5,9.72,"10/11/2016 19:16:49",9,3
"Bellatrix",1617,5,9.72,"11/11/2016 12:13:58",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 12:14:06",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 12:16:08",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 12:16:13",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 12:17:08",1,4
"Bellatrix",1617,5,9.72,"11/11/2016 12:17:25",1,5
"Bellatrix",1617,5,9.72,"11/11/2016 12:24:06",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 12:26:54",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 12:43:56",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 12:44:18",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 12:45:01",1,4
"Bellatrix",1617,5,9.72,"11/11/2016 12:45:14",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 12:45:20",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 12:53:39",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 12:55:24",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 12:55:30",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 14:33:04",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 14:33:26",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 14:50:27",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 14:55:08",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 14:55:22",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 14:56:10",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 14:57:51",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 14:57:58",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 15:50:16",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 15:50:29",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 15:51:19",1,4
"Bellatrix",1617,5,9.72,"11/11/2016 15:51:32",1,5
"Bellatrix",1617,5,9.72,"11/11/2016 15:54:40",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 15:54:45",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 15:55:37",1,4
"Bellatrix",1617,5,9.72,"11/11/2016 15:55:48",1,5
"Bellatrix",1617,5,9.72,"11/11/2016 15:57:07",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 15:57:11",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 15:57:58",1,4
"Bellatrix",1617,5,9.72,"11/11/2016 15:58:10",1,5
"Bellatrix",1617,5,9.72,"11/11/2016 15:58:54",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 15:58:58",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 15:59:27",1,4
"Bellatrix",1617,5,9.72,"11/11/2016 15:59:41",1,5
"Bellatrix",1617,5,9.72,"11/11/2016 16:15:09",3,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:15:14",3,2
"Bellatrix",1617,5,9.72,"11/11/2016 16:15:53",3,3
"Bellatrix",1617,5,9.72,"11/11/2016 16:16:12",3,4
"Bellatrix",1617,5,9.72,"11/11/2016 16:16:20",3,5
"Bellatrix",1617,5,9.72,"11/11/2016 16:17:59",7,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:18:03",7,2
"Bellatrix",1617,5,9.72,"11/11/2016 16:18:04",7,3
"Bellatrix",1617,5,9.72,"11/11/2016 16:25:39",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:29:28",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:30:16",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:34:30",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:34:34",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 16:38:17",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:39:27",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:41:07",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:41:22",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 16:44:44",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:44:48",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 16:45:33",1,4
"Bellatrix",1617,5,9.72,"11/11/2016 16:45:40",1,5
"Bellatrix",1617,5,9.72,"11/11/2016 16:48:02",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:48:06",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 16:48:19",1,4
"Bellatrix",1617,5,9.72,"11/11/2016 16:48:25",1,5
"Bellatrix",1617,5,9.72,"11/11/2016 16:50:51",1,1
"Bellatrix",1617,5,9.72,"11/11/2016 16:50:56",1,2
"Bellatrix",1617,5,9.72,"11/11/2016 16:51:15",1,4
"Bellatrix",1617,5,9.72,"11/11/2016 16:51:24",1,5
"Bellatrix",1617,5,9.72,"12/11/2016 11:39:16",1,1
"Bellatrix",1617,5,9.72,"12/11/2016 11:39:22",1,2
"Bellatrix",1617,5,9.72,"12/11/2016 11:39:54",1,1
"Bellatrix",1617,5,9.72,"12/11/2016 11:39:57",1,2
"Bellatrix",1617,5,9.72,"12/11/2016 11:40:43",1,1
"Bellatrix",1617,5,9.72,"12/11/2016 11:40:45",1,2
"Bellatrix",1617,5,9.72,"12/11/2016 11:42:05",1,4
"Bellatrix",1617,5,9.72,"12/11/2016 11:42:41",1,5
"Bellatrix",1617,5,9.72,"13/11/2016 10:47:55",1,1
"Bellatrix",1617,5,9.72,"13/11/2016 11:18:17",1,1
"Bellatrix",1617,5,9.72,"13/11/2016 11:39:09",1,1
"Bellatrix",1617,5,9.72,"13/11/2016 15:00:30",1,1
"Bellatrix",1617,5,9.72,"13/11/2016 15:00:38",1,2
"Bellatrix",1617,5,9.72,"13/11/2016 15:02:07",1,1
"Bellatrix",1617,5,9.72,"13/11/2016 15:03:34",1,1
"Bellatrix",1617,5,9.72,"13/11/2016 15:04:47",1,1
"Bellatrix",1617,5,9.72,"13/11/2016 15:07:04",1,1
"Bellatrix",1617,5,9.72,"13/11/2016 15:08:09",1,1
"Bellatrix",1617,5,9.72,"13/11/2016 15:14:18",1,1
"Bellatrix",1617,5,9.72,"13/11/2016 15:32:27",1,1
