Grupo;DAG;Q1;Q2;Q3;Q4;ST;DAG_1;DAG_2;DAG_3;DAG_4;DAG_5;DAG_6;DAG_7;DAG_8;DAG_9;ST_1;ST_2;ST_3;ST_4;ST_5;ST_6;ST_7;ST_8;ST_9
DBA1617P2GB;1.40322;2.59806;1.40322;2.32418;1.40322;8.54729e+20;1.58831;2.03275;2.02861;2.14817;2.6093;2.31013;2.24122;2.30785;1.51813;1;42;126;252;252;7.99497e+09;2.66499e+10;5.44102e+10;2.63411e+19
DBA1617P2GD;1.06763;1.12037;1.06763;0.999574;1.06763;1.23261e+19;1.36068;0.724657;0.911733;1.05225;1.44677;1.65949;1.74487;1.76049;1.81454;1;39;224;448;448;768;768;1536;1536
DBA1617P2GE;1.41715;1.63173;1.41715;1.49584;1.41715;7.66802e+20;1.41023;0.69656;0.69656;0.69656;0.967503;0.967503;0.967503;1.09384;1.49878;1;7200;10800;13500;27000;27000;27000;27000;7.27834e+10
DBA1617P2GF;1.33324;0.813178;1.33324;1.48028;1.33324;5.33745e+09;0.980307;0.715559;0.844827;0.856287;0.879903;1.10564;1.10564;1.20352;1.23812;2;12;6160;6160;16200;129600;129600;129600;1.0368e+06
DBA1617P2GG;1.42242;0.813178;1.42242;1.63063;1.42242;2.6907e+19;1.68333;1.53415;1.5692;1.5692;1.5692;1.78965;1.78965;2.03296;1.47151;1;5859;25146;33528;67056;146304;292608;3.93155e+08;2.25804e+18
DBA1617P2GH;1.32929;0.98069;1.32929;0.589447;1.32929;1.21806e+14;0.984185;0.945417;0.926066;0.926066;0.650142;0.835224;0.959233;0.936657;1.13651;3;792;9768;9768;1.11672e+07;4.2882e+07;8.57641e+07;1.40341e+08;6.08145e+08
DBA1617P2GI;1.50377;0.98069;1.50377;1.51941;1.50377;1.24921e+13;1.41083;1.32729;1.30118;1.30118;1.34852;1.44169;1.616;1.74171;-1;1;84;252;252;252;252;252;252;-1
DBA1617P2GJ;1.46189;1.18236;1.46189;1.05586;1.46189;691200;1.46985;1.04492;1.35673;1.31103;1.39943;1.39943;1.50606;-1;-1;2;608;9600;38400;38400;57600;57600;-1;-1
DBA1718P2GA;2.16561;1.03551;1.84491;2.16561;2.16561;7.46496e+09;1.15158;1.76528;1.83709;1.83709;2.65847;2.12845;2.57072;2.65071;2.8099;1;16;18;18;18;540;25920;155520;311040
DBA1718P2GB;1.60341;1.1006;1.03912;1.60341;1.60341;1.16453e+13;0.476612;1.16926;1.16926;1.16926;1.16926;1.15732;1.28046;1.27946;1.52191;1;1.47972e+06;1.61424e+06;2.15232e+06;2.6904e+06;6.11712e+06;1.12435e+08;1.68653e+08;2.91133e+12
