Grupo;DAG;Q1;Q2;Q3;Q4;ST;DAG_1;DAG_2;DAG_3;DAG_4;DAG_5;DAG_6;DAG_7;DAG_8;DAG_9;ST_1;ST_2;ST_3;ST_4;ST_5;ST_6;ST_7;ST_8;ST_9
DBA1819P2GH;1.11924;1.11924;0.911412;0.94843;1.11924;9.05683e+13;0.643877;0.750549;0.738054;0.875298;0.796537;1.196;1.19008;0.961738;0.973012;180;180;180;1680;30240;3.57739e+06;4.40294e+06;6.57297e+08;4.31101e+10
DBA1819P2GI;0.995874;0.995874;0.914698;0.875244;0.995874;5.20225e+10;0.852291;0.906119;0.908608;0.978269;0.971964;0.99485;0.990754;-1;-1;451584;564480;3.38688e+06;2.58661e+08;5.49654e+08;3.82206e+09;3.82206e+09;-1;-1
DBA1819P2GJ;0.975897;0.975897;1.1716;0.901032;0.975897;1.95106e+17;0.897594;0.902478;0.835955;0.812951;1.12633;1.33223;1.2918;1.27489;1.00079;1;1;18;36;4608;15360;1.86624e+08;2.79936e+08;4.57195e+14
DBA1819P2GK;1.13739;1.13739;0.870272;0.933437;1.13739;1.08186e+19;1.07741;1.1343;1.08533;1.09603;1.09143;1.10761;1.11952;1.17143;1.16975;1.42688e+06;6.38669e+07;2.28638e+08;4.78061e+08;5.31179e+08;1.46091e+09;5.54771e+10;9.99956e+12;1.61864e+13
DBA1819P2GL;0.813862;0.813862;0.395531;0.537419;0.813862;248832;0.617111;0.928649;0.84882;0.882386;0.873944;0.813862;-1;-1;-1;2;128;1800;3600;6480;248832;-1;-1;-1
DBA1920P2GB;1.01641;0.987717;1.05252;1.01641;1.01641;2.18517e+14;0.429029;0.486756;0.596285;0.8564;0.998759;0.823052;0.839415;0.852741;0.890267;1;4;4;12;9216;1.27008e+06;1.27008e+06;1.16122e+07;5.22547e+07
DBA1920P2GC;1.06226;0.598845;0.665031;0.943722;1.06226;2.49344e+16;0.76492;1.24796;1.21938;1.35946;1.56807;1.46573;1.50664;1.35548;-1;6;14;350;350;350;720;1.91884e+09;7.81117e+11;-1
DBA1920P2GD;0.68969;0.704165;0.717733;0.687738;0.68969;4.42876e+19;0;0;0.781442;0.816497;0.779611;0.782805;0.782805;0.782805;0.855107;1;1;1;1;1;145152;145152;145152;145152
DBA1920P2GE;0.877145;1.04069;1.04069;0.838329;0.877145;2.98172e+14;0.532292;0.618253;0.641601;0.678223;0.675919;0.720164;0.823623;0.858024;0.860166;432;2700;3240;7560;7560;7.90353e+08;3.76234e+09;3.61185e+10;1.95642e+11
DBA1920P2GF;0.668041;0.775239;0.708776;0.662302;0.668041;3.19538e+23;0.893933;0.882063;1.26472;1.30924;1.35498;0.703933;0.757118;0.757118;1.00402;1;2;16;12;12;38016;88704;177408;5.4743e+06
DBA1920P2GH;1.16893;1.0104;1.14372;1.12382;1.16893;2.85311e+12;1.2993;1.10103;1.11864;0.961014;0.831512;0.979966;1.05104;1.066;1.066;8;80;80;96;3360;192000;633600;1.11514e+07;2.23027e+07
DBA1920P2GI;0.803826;1.02898;0.930794;0.890921;0.803826;1.37169e+09;0;0;0;0;0.221912;1.163;1.16233;1.08357;1.11046;1;1;1;1;1;2;2;2;6
DBA1920P2GJ;2.6275;1.02898;2.54821;2.72933;2.6275;2.01554e+11;1.55558;1.89973;1.66818;2.452;2.67615;2.34805;2.33219;2.33219;-1;1;4;4;4;4;320;1.3271e+07;1.3271e+07;-1
DBA1920P2GK;0.858751;0.64865;0.950299;1.00616;0.858751;5.88892e+21;0.848798;1.18408;1.31572;0.991666;0.991215;0.85051;0.83547;0.833289;0.817592;2;6;288;4608;6.8923e+08;2.39e+14;2.62899e+14;6.57249e+14;1.40656e+16
DBA1920P2GL;0.78183;0.876502;0.812851;0.794725;0.78183;3.87991e+11;0.75133;0.915444;0.930493;0.567685;0.625006;0.841477;0.89877;0.893238;-1;1;6;54;1512;1512;1512;1512;4.5527e+07;-1
