Group	Grade	QuartileGrade	Year	DAG	Size	p	s	ns	np	ot	st	rt	ft	sq	ps	fr	RWSP	MAN	MAN01	SIM	MDN	Degree1	Degree2	Degree3	Degree4	Degree5	Degree6	Degree7	Degree8	Degree9	FDegree1	FDegree2	FDegree3	FDegree4	FDegree5	FDegree6	FDegree7	FDegree8	FDegree9	LAP01	LAP02	LAP03	LAP04	LAP05	LAP06	LAP07	LAP08	LAP09	LAP10	FLAP1	FLAP2	FLAP3	FLAP4	FLAP5	FLAP6	FLAP7	FLAP8	FLAP9	DAG_1	DAG_2	DAG_3	DAG_4	DAG_5	DAG_6	DAG_7	DAG_8	DAG_9
DBA 1920 P2 GK	8,1	1	Y2019	1,07344	1	9	821	0,739	1	0,179	0,389	0,21	0,641	0,996	0,072	0,715	0,225	9,487	3	0,924	0,547	6	16	18	24	52	90	92	94	100	6	18	18	22	54	88	88	88	92	1	2	2	8	1152	1036800	1036800	1036800	3110400	3110400	1	3	3	6	1152	645120	645120	645120	645120	848798	118408	131572	991666	991215	85051	83547	833289	817592
DBA 1920 P2 GL	8,4	2	Y2019	0,977288	1	8	444	0,4	0,89	0,079	0,142	0,08	0,714	0,846	0,095	0,836	0,325	8,718	2,828	0,795	0,207	8	10	16	24	26	28	30	58	82	8	8	12	16	16	16	16	38	50	1	1	2	16	16	16	16	2592	2592	2592	1	1	1	1	1	1	1	16	256	75133	915444	930493	567685	625006	841477	89877	893238	893238
DBA 1920 P2 GM	9,2	3	Y2019	0,70337	1	9	170	0,153	1	0,354	0,392	0,039	0,741	0,996	0,073	0,582	0,452	10,392	3	0,895	0,59	4	6	8	12	14	28	32	34	36	4	4	4	8	8	20	20	20	20	1	1	1	1	1	12	24	24	24	24	1	1	1	1	1	6	6	6	6	783087	101523	108114	118695	107264	571047	587849	587849	656876
DBA 1920 P2 GN	10	4	Y2019	0,92913	0	9	149	0,134	1	0,497	0,682	0,185	1	0,989	0,043	0,812	0,024	8,485	3	0,97	0,19	2	4	6	14	16	18	32	40	52	2	2	2	10	10	10	20	24	34	1	1	1	1	1	1	16	96	432	432	1	1	1	1	1	1	4	8	32	0	894824	736201	694502	745883	741948	741948	728429	743304
DBA 2021 P2 GA	8,6	2	Y2020	1,17097	1	9	364	0,597	1	0,695	0,699	0,004	0,981	1	0,105	0,341	0,177	14,967	3	0,922	1,411	4	8	10	14	16	22	24	28	30	4	8	8	12	12	20	20	24	24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	393722	66731	751837	751837	103276	829551	829551	101485	101485
DBA 2021 P2 GB	7,7	1	Y2020	0,601254	1	7	395	0,648	0,78	0,424	0,424	0	0,83	0,701	0,109	0,367	0,115	8,944	2,646	0,689	0,654	2	6	10	14	16	18	20	24	24	2	6	10	14	14	14	14	18	18	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	0	566771	695065	695065	729332	565339	565339	565339	565339
DBA 2021 P2 GC	9,6	4	Y2020	1,06785	1	9	277	0,454	1	0,593	0,599	0,006	1	1	0,102	0,433	0,501	11	3	0,969	1,517	4	6	8	16	18	24	30	44	48	4	6	6	10	10	14	14	22	26	1	1	1	4	4	8	24	216	216	216	1	1	1	2	2	2	2	2	2	624749	795452	994413	100814	100814	8766	903678	937224	933156
DBA 2021 P2 GD	8,6	2	Y2020	1341	1	8	335	0,549	0,89	0,31	0,326	0,016	0,958	0,929	0,098	0,233	0,199	17,059	2,828	0,927	0,818	2	8	14	16	18	22	26	32	34	2	12	16	16	16	20	24	26	30	1	1	2	2	2	2	2	8	8	8	1	3	3	3	3	3	3	6	6	0	601717	696588	718762	763139	715613	750233	822591	822591
DBA 2021 P2 GE	9,2	3	Y2020	0,902484	1	9	53	0,087	1	0,509	0,514	0,004	0,943	0,972	0,088	0,113	0,801	14,731	3	0,937	1,369	4	6	8	12	14	16	18	22	24	4	4	4	4	4	4	4	8	8	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	298142	420907	875367	687619	687619	509961	64291	535132	560415
DBA 2021 P2 GF	9,2	3	Y2020	0,735155	0	7	166	0,272	0,78	0,389	0,462	0,073	1	0,671	0,063	0,578	0,17	10,77	2,646	0,671	0,981	4	8	16	18	24	32	36	38	38	4	8	12	12	16	24	28	28	28	1	1	4	4	12	18	18	18	18	18	1	1	2	2	3	3	3	3	3	371223	739238	953061	953061	544432	49949	537795	537795	537795
